n_clusters,labels,centers
2,[0 1 0 ... 0 0 0],"[[ 0.71340916  0.34880229 -0.37950845]
 [-0.62178322 -0.30400424  0.33076669]]"
3,[1 2 0 ... 0 0 0],"[[ 1.18895459  0.03515352 -0.46304792]
 [-0.4071835   0.86705156  0.24757497]
 [-0.43197377 -0.84678433  0.08380506]]"
4,[1 2 0 ... 3 3 3],"[[ 0.59052648  0.23513197 -0.7985635 ]
 [-0.59117058  0.81519333  0.42190538]
 [-0.4345555  -0.92960053  0.07604283]
 [ 4.59710244 -0.4471426   3.42576483]]"
5,[1 2 0 ... 3 3 3],"[[ 6.70876438e-01  1.08331689e-01 -8.91192650e-01]
 [-1.23605147e-01  1.16541076e+00  2.99130407e-03]
 [-1.58668591e-01 -1.06010567e+00 -2.08352940e-01]
 [ 4.59710244e+00 -4.47142596e-01  3.42576483e+00]
 [-9.52575494e-01 -6.32574862e-02  6.78620173e-01]]"
6,[1 5 0 ... 3 3 3],"[[ 0.79259557  0.4854274  -0.96868543]
 [-0.08663354  1.23721419 -0.02526424]
 [ 0.23119153 -0.67945199 -0.54786289]
 [ 4.59710244 -0.4471426   3.42576483]
 [-0.86878879  0.24862777  0.63105098]
 [-0.73274179 -1.19206876  0.33888395]]"
7,[1 5 6 ... 3 3 3],"[[ 0.55696241 -0.89767473 -0.89075895]
 [-0.27848041  1.48279432  0.18958998]
 [-0.1404349   0.03639713 -0.1051621 ]
 [ 4.59710244 -0.4471426   3.42576483]
 [-1.1199518   0.16964923  0.86812793]
 [-0.6317428  -1.25132223  0.2335031 ]
 [ 0.75350647  0.75216451 -0.90098867]]"
8,[3 5 0 ... 2 2 2],"[[ 0.88647748 -0.13727342 -1.1292961 ]
 [-0.1583934   0.00702859 -0.09082921]
 [ 4.59710244 -0.4471426   3.42576483]
 [-0.46603421  1.47268455  0.37201917]
 [-1.12982552  0.18093558  0.87903643]
 [-0.79720093 -1.18306983  0.4029587 ]
 [ 0.49837224  1.09626633 -0.61332467]
 [ 0.21817173 -1.25317967 -0.59845092]]"
