n_clusters,labels,centers
2,[0 1 0 ... 1 0 1],"[[ 1.11262661e+00 -2.07674879e-01 -1.11940946e-01  7.96165194e-02
  -4.23685423e-02  4.77580041e-02 -5.35569465e-02 -8.09442239e-02
  -6.82739849e-02  2.51622915e-02 -2.45769840e-04]
 [-1.09350493e+00  2.04105763e-01  1.10017121e-01 -7.82482241e-02
   4.16403935e-02 -4.69372316e-02  5.26365129e-02  7.95531105e-02
   6.71006232e-02 -2.47298505e-02  2.41546022e-04]]"
3,[2 1 2 ... 1 2 1],"[[ 1.17623363  3.16077836 -0.29054945 -0.86362373 -0.35160736  0.68615387
  -0.59083538  0.05918423  0.85553206  1.0064294  -0.09309181]
 [-1.15803284  0.05803672  0.1555364  -0.03166506  0.07089767 -0.11613919
   0.10930177  0.09637592  0.01502911 -0.11231257  0.00723309]
 [ 0.96091249 -0.61466935 -0.10573554  0.18388884 -0.00963461 -0.00360304
  -0.00627275 -0.10760817 -0.16568783 -0.06381472  0.00908499]]"
4,[2 1 2 ... 0 2 2],"[[-0.1199249  -0.10707601  0.80751296 -0.41594724  0.36721215 -0.52361558
   0.29826757  0.40186475  0.30155443 -0.29264827 -0.03365123]
 [-1.57607923  0.07970377 -0.18823666  0.24736212 -0.06144041  0.11465925
   0.00864356  0.00731899 -0.05008985 -0.02666292  0.03378989]
 [ 0.9667463  -0.63542123 -0.29220771  0.24816357 -0.10620552  0.09415051
  -0.0662762  -0.25963672 -0.31922354 -0.00822318  0.01482402]
 [ 1.17975713  3.16484852 -0.29280267 -0.86295587 -0.35011055  0.68551665
  -0.59026211  0.05890869  0.85373479  1.00429313 -0.09276288]]"
5,[2 1 2 ... 0 2 2],"[[-2.83141158e-01 -1.88620069e-01  5.81414875e-01 -7.17333691e-01
   2.37107961e-01 -3.56503939e-01  4.91555875e-01  4.17852845e-01
   2.50108131e-01 -2.99478871e-01 -4.90975836e-02]
 [-1.64387908e+00  1.36125755e-01 -2.36433511e-01  2.35040844e-01
  -9.00227916e-02  1.56171730e-01  7.26676240e-02 -1.00755565e-03
  -9.14609613e-02 -3.77955188e-02  3.38246532e-02]
 [ 8.62349887e-01 -6.92045723e-01 -4.77372937e-01 -5.27158575e-02
  -1.98731907e-01  2.30141192e-01  1.24469115e-01 -2.52695165e-01
  -3.73939130e-01 -3.39390436e-02 -1.04599347e-02]
 [ 8.63557725e-01 -3.91606275e-02  1.27933348e+00  1.96548990e+00
   7.09135508e-01 -1.00073721e+00 -1.31116350e+00 -9.48689517e-02
   3.26472647e-01  8.98211219e-02  1.39770088e-01]
 [ 1.18009223e+00  3.18153938e+00 -3.09369449e-01 -8.73876117e-01
  -3.53651057e-01  6.88731536e-01 -5.73837934e-01  6.23037646e-02
   8.43867754e-01  9.96195934e-01 -9.22854146e-02]]"
6,[2 1 2 ... 1 2 1],"[[-0.08826747 -0.36576886  0.63062446 -0.99024761  0.47034233 -0.3472862
   0.36118001  0.48011407  0.23371679 -0.29040729 -0.05244605]
 [-1.52454015 -0.11623071 -0.41235812 -0.0653702   0.25926748  0.26807001
  -0.33723125  0.19966189 -0.20281976 -0.03350044  0.02626771]
 [ 1.05533865 -0.82149681 -0.4703818  -0.16083457 -0.12369985  0.23907119
   0.0948427  -0.19082823 -0.33436637 -0.04411161 -0.01728954]
 [-0.81921349  0.35393586  0.15524171  0.49271619 -0.70937128 -0.17156702
   0.87956592 -0.3010097   0.02527884 -0.13531488  0.00860732]
 [ 1.17956655  3.18665384 -0.31122699 -0.87154726 -0.35271488  0.68804313
  -0.5727148   0.06193254  0.8426382   0.99463588 -0.09172546]
 [ 0.86192359 -0.03769649  1.27910688  1.96758518  0.709518   -1.00025871
  -1.31127191 -0.09561344  0.32575068  0.08948566  0.13703669]]"
7,[2 1 2 ... 1 2 1],"[[-1.44543977e-01 -3.69957786e-01  5.50493142e-01 -1.05764043e+00
   3.82053212e-01 -4.87934389e-01  2.70411692e-01  4.56541430e-01
   2.28134716e-01 -2.93330024e-01 -5.23283109e-02]
 [-1.54815849e+00 -1.08062198e-01 -4.21545659e-01 -6.30436155e-02
   2.44026629e-01  2.58905196e-01 -3.47737142e-01  1.97744579e-01
  -2.03513237e-01 -3.59268486e-02  2.76527370e-02]
 [ 1.00404000e+00 -8.24266176e-01 -5.64296616e-01 -2.37150487e-01
  -2.43611679e-01  6.04443895e-02 -2.01398101e-03 -2.16077835e-01
  -3.34430739e-01 -5.27340654e-02 -2.02775866e-02]
 [-8.33552620e-01  3.59158043e-01  1.45982753e-01  4.70390632e-01
  -7.41213742e-01 -2.13400330e-01  8.57426438e-01 -3.04864951e-01
   2.51344611e-02 -1.42426365e-01  8.17683449e-03]
 [ 1.15117881e+00  3.19341959e+00 -3.45257958e-01 -9.03702055e-01
  -4.02404851e-01  6.22413216e-01 -6.06231687e-01  5.31666371e-02
   8.39883851e-01  9.88563916e-01 -9.28991143e-02]
 [ 7.60006250e-01 -1.75902458e-02  1.14267354e+00  1.85571680e+00
   5.11929338e-01 -1.28643716e+00 -1.46801002e+00 -1.36123739e-01
   3.15674592e-01  6.81633341e-02  1.20169779e-01]
 [ 1.57787433e+00 -2.71431554e-01  1.98600350e+00  1.86130950e+00
   2.68310989e+00  3.54436433e+00  1.83605430e+00  5.04529071e-01
   6.03496593e-02  2.37036243e-01  9.57947040e-02]]"
8,[7 1 6 ... 1 7 6],"[[ 1.57787433 -0.27143155  1.9860035   1.8613095   2.68310989  3.54436433
   1.8360543   0.50452907  0.06034966  0.23703624  0.0957947 ]
 [-1.36008332 -0.00772743 -0.00784806 -0.54936444  0.57412794 -0.11757478
  -0.12336575  0.41682444 -0.01469138 -0.19249409 -0.00577449]
 [ 0.75246847 -0.01191182  1.1438627   1.85812025  0.51681101 -1.28674399
  -1.46952422 -0.13992012  0.31309474  0.06868786  0.11086943]
 [-0.92377814  0.47640877  0.53018924  0.11155745 -0.48996032 -0.49521568
   1.03654482 -0.12511592  0.2087763  -0.23759121 -0.00884309]
 [ 1.15983765  3.21738397 -0.35424834 -0.90007482 -0.39230791  0.61414233
  -0.59904254  0.05280907  0.83370869  0.97932943 -0.09147149]
 [-0.28886705 -1.09389307  0.35995832 -0.22131696 -0.98179373  0.60631469
  -0.41225681 -0.04202498 -0.10511642  0.10682428 -0.08509522]
 [-0.02249568 -0.11735474 -1.20303126  0.43157341 -0.00453557  0.10880443
   0.0808653  -0.35898187 -0.45429064 -0.05966355  0.02835415]
 [ 1.46820883 -0.88519029 -0.26835516 -0.62062094 -0.10255    -0.26881721
   0.24588756 -0.03681922 -0.17310355 -0.12541683  0.01713876]]"
