Modèle,Silhouette,Calinski Harabasz,Davies Bouldin ,Inertie
essai 7,0.44969599436721114,43530.14578591568,0.9731980425974973,-957099.5988577465
essai 8,0.587385405969199,78300.19461034506,0.7776228228271647,-542600.4220840039
essai 9,0.5599239689895789,76604.79362766875,0.775770760487371,-665085.6686692347
essai 10,0.5335301018425314,52878.01296247411,0.8187528119371921,-6606.903878496341
